Date,Total_Generation,Consumption_KWH,Avg_Temp,Total_Precip,Avg_Wind,Surplus_KWH,Month,Season
2021-01-01,10773000000.0,97524864.0,34.75806451612903,2.31,6.79741935483871,10675475136.0,1,Winter
2021-02-01,9375000000.0,85521004.0,34.160714285714285,5.13,6.4871428571428575,9289478996.0,2,Winter
2021-03-01,9909000000.0,81442511.0,45.82258064516129,3.41,6.710322580645162,9827557489.0,3,Spring
2021-04-01,8733000000.0,84031117.0,54.583333333333336,2.69,5.741666666666666,8648968883.0,4,Spring
2021-05-01,9333000000.0,79768561.0,62.88709677419355,4.36,5.174193548387097,9253231439.0,5,Spring
2021-06-01,11097000000.0,101638758.0,74.25,2.62,3.682666666666667,10995361242.0,6,Summer
2021-07-01,11679000000.0,126406768.0,76.03225806451613,11.09,3.485483870967742,11552593232.0,7,Summer
2021-08-01,12373000000.0,132027015.0,77.54838709677419,10.320000000000002,3.4416129032258063,12240972985.0,8,Summer
2021-09-01,9893000000.0,114096113.8,70.3,10.03,3.974117647058823,9778903886.2,9,Fall
2021-10-01,9574000000.0,89492023.0,62.0,5.26,4.6214814814814815,9484507977.0,10,Fall
2021-11-01,9875000000.0,90128331.0,46.233333333333334,1.12,4.7043333333333335,9784871669.0,11,Fall
2021-12-01,10293000000.0,87989455.0,43.75806451612903,1.39,5.339999999999999,10205010545.0,12,Winter
2022-01-01,10750000000.0,94627328.0,30.322580645161292,4.29,6.782903225806451,10655372672.0,1,Winter
2022-02-01,9136000000.0,84047534.0,37.32142857142857,3.23,6.4475,9051952466.0,2,Winter
2022-03-01,8950000000.0,79499363.0,45.29032258064516,2.39,6.659677419354838,8870500637.0,3,Spring
2022-04-01,9246000000.0,83675501.0,52.75,4.53,6.389666666666666,9162324499.0,4,Spring
2022-05-01,10213000000.0,79551029.0,64.03225806451613,4.52,4.799354838709678,10133448971.0,5,Spring
2022-06-01,10431000000.0,93995910.0,71.38333333333334,2.9199999999999995,4.003666666666667,10337004090.0,6,Summer
2022-07-01,12684000000.0,135728677.0,79.54838709677419,4.550000000000001,3.722258064516129,12548271323.0,7,Summer
2022-08-01,12326000000.0,128424809.0,79.3225806451613,1.7099999999999997,3.665161290322581,12197575191.0,8,Summer
2022-09-01,9014000000.0,112374076.0,69.53333333333333,4.1000000000000005,4.2876666666666665,8901625924.0,9,Fall
2022-10-01,9235000000.0,85887199.0,56.88709677419355,5.08,4.863548387096775,9149112801.0,10,Fall
2022-11-01,9693000000.0,80242296.0,50.916666666666664,3.15,5.360666666666666,9612757704.0,11,Fall
2022-12-01,10405000000.0,86351069.0,38.467741935483865,5.83,6.335806451612903,10318648931.0,12,Winter
2023-01-01,9909000000.0,92237051.0,43.467741935483865,4.38,5.737096774193549,9816762949.0,1,Winter
2023-02-01,9290000000.0,81732625.0,41.107142857142854,1.28,5.903571428571429,9208267375.0,2,Winter
2023-03-01,9303000000.0,82763891.0,44.62903225806452,3.3200000000000003,6.501612903225807,9220236109.0,3,Spring
2023-04-01,8293000000.0,77504601.0,57.6,7.699999999999998,5.107333333333334,8215495399.0,4,Spring
2023-05-01,9396000000.0,74057639.0,62.67741935483871,1.28,3.832666666666667,9321942361.0,5,Spring
2023-06-01,10089000000.0,83313060.0,70.0,1.6199999999999999,3.8613333333333335,10005686940.0,6,Summer
2023-07-01,12985000000.0,130215198.63,79.04838709677419,5.339999999999999,2.5970967741935485,12854784801.37,7,Summer
2023-08-01,11397000000.0,114773964.0,75.0,6.5600000000000005,3.7229032258064514,11282226036.0,8,Summer
2023-09-01,10113000000.0,108513328.49,69.4,14.25,4.637333333333333,10004486671.51,9,Fall
2023-10-01,9488000000.0,78552207.51,60.5,3.9,3.824193548387097,9409447792.49,10,Fall
2023-11-01,10412000000.0,84179374.0,46.666666666666664,2.95,4.868666666666667,10327820626.0,11,Fall
2023-12-01,10415000000.0,85716032.02,44.61290322580645,6.71,5.109677419354839,10329283967.98,12,Winter
