Date,Avg_Temp,Total_Precip,Avg_Wind
2021-01-01,34.75806451612903,2.31,6.79741935483871
2021-02-01,34.160714285714285,5.13,6.4871428571428575
2021-03-01,45.82258064516129,3.41,6.710322580645162
2021-04-01,54.583333333333336,2.69,5.741666666666666
2021-05-01,62.88709677419355,4.36,5.174193548387097
2021-06-01,74.25,2.62,3.682666666666667
2021-07-01,76.03225806451613,11.09,3.485483870967742
2021-08-01,77.54838709677419,10.32,3.4416129032258063
2021-09-01,70.3,10.03,3.9741176470588235
2021-10-01,62.0,5.26,4.6214814814814815
2021-11-01,46.233333333333334,1.12,4.7043333333333335
2021-12-01,43.75806451612903,1.3900000000000001,5.34
2022-01-01,30.322580645161292,4.29,6.782903225806451
2022-02-01,37.32142857142857,3.23,6.4475
2022-03-01,45.29032258064516,2.39,6.659677419354838
2022-04-01,52.75,4.53,6.389666666666667
2022-05-01,64.03225806451613,4.52,4.799354838709678
2022-06-01,71.38333333333334,2.92,4.003666666666667
2022-07-01,79.54838709677419,4.550000000000001,3.722258064516129
2022-08-01,79.3225806451613,1.71,3.665161290322581
2022-09-01,69.53333333333333,4.1000000000000005,4.2876666666666665
2022-10-01,56.88709677419355,5.08,4.863548387096775
2022-11-01,50.916666666666664,3.15,5.360666666666666
2022-12-01,38.46774193548387,5.83,6.335806451612903
2023-01-01,43.46774193548387,4.38,5.737096774193549
2023-02-01,41.107142857142854,1.28,5.903571428571429
2023-03-01,44.62903225806452,3.3200000000000003,6.501612903225807
2023-04-01,57.6,7.699999999999999,5.107333333333333
2023-05-01,62.67741935483871,1.28,3.832666666666667
2023-06-01,70.0,1.62,3.8613333333333335
2023-07-01,79.04838709677419,5.34,2.5970967741935485
2023-08-01,75.0,6.5600000000000005,3.7229032258064514
2023-09-01,69.4,14.25,4.637333333333333
2023-10-01,60.5,3.9,3.824193548387097
2023-11-01,46.666666666666664,2.95,4.868666666666667
2023-12-01,44.61290322580645,6.71,5.109677419354839
